Comment,Designator,Footprint,LCSC
BC547,Q3,TO-92_Inline,
Jumper_3_Bridged12,JP6,PinHeader_1x03_P2.54mm_Vertical,
10k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
BC547,Q4,TO-92_Inline,
MountingHole,H1,MountingHole_2.7mm_M2.5_DIN965,
MountingHole,H4,MountingHole_2.7mm_M2.5_DIN965,
Conn_01x02_Male,J2,JST_KNOCKOFF_XH_B2B-XH-A_1x02_P2.54mm_Vertical,
Jumper_2_Open,JP3,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Bridged12,JP4,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x02_Male,J6,JST_KNOCKOFF_XH_B2B-XH-A_1x02_P2.54mm_Vertical,
Conn_01x07_Female,J8,PinSocket_1x07_P2.54mm_Vertical,
MountingHole,H2,MountingHole_2.7mm_M2.5_DIN965,
YAAJ_BluePill_Part_Like,U1,YAAJ_BluePill_1,
Conn_02x05_Odd_Even,EXP1,IDC-Header_2x05_P2.54mm_Vertical,
Conn_01x04_Male,J3,JST_KNOCKOFF_XH_B4B-XH-A_1x04_P2.54mm_Vertical,
Conn_01x03_Male,J4,JST_KNOCKOFF_XH_B3B-XH-A_1x03_P2.54mm_Vertical,
BC547,Q2,TO-92_Inline,
Screw_Terminal_01x03,J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
1N4148,D1,D_DO-35_SOD27_P7.62mm_Horizontal,
Jumper_3_Bridged12,JP5,PinHeader_1x03_P2.54mm_Vertical,
MountingHole,H3,MountingHole_2.7mm_M2.5_DIN965,
10k,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
Conn_02x05_Odd_Even,EXP2,IDC-Header_2x05_P2.54mm_Vertical,
10k,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
Conn_01x02_Male,J7,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04_Male,J5,JST_KNOCKOFF_XH_B4B-XH-A_1x04_P2.54mm_Vertical,
YAAJ_Raspberry_Pi_2_3_GPIO,U2,PinHeader_2x20_P2.54mm_Vertical,
470,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
BC547,Q1,TO-92_Inline,
